Time (ms); Pri Amplitude (mm)
17133;157.9957
17227;157.9426
17316;158.0448
17407;158.1104
17502;158.1275
17590;158.3868
17673;158.5131
17765;158.8038
17857;159.1004
17942;158.9894
18036;158.8394
18127;158.9536
18214;159.1511
18307;158.9208
18391;158.8079
18481;158.5279
18570;158.3882
18663;158.4257
18746;158.314
18843;158.1552
18930;158.1497
19018;158.0957
19111;158.0434
19198;157.7952
19290;157.9415
19378;157.9281
19469;157.8504
19559;157.5808
19646;157.6855
19737;157.458
19827;157.7915
19917;157.7768
20007;157.8505
20091;158.1435
20184;157.8586
20275;157.9084
20362;157.9057
20453;158.0886
20541;158.5404
20630;158.5156
20718;158.4755
20809;158.4822
20901;158.5696
20993;158.6577
21079;158.735
21166;158.6154
21258;158.5165
21349;158.5748
21436;158.7051
21527;158.6303
21618;158.6068
21706;158.5468
21798;158.222
21885;158.121
21977;158.1266
22066;157.9994
22158;157.9889
22244;157.8748
22335;157.8296
22424;157.8114
22512;157.8119
22605;157.948
22692;157.8796
22790;158.171
22877;157.7551
22966;157.8468
23048;158.0494
23139;158.5744
23228;158.3983
23319;158.2668
23417;158.1829
23500;158.3824
23589;158.3525
23681;158.2957
23773;158.3773
23865;158.2788
23953;158.3022
24040;158.0305
24129;158.2889
24219;158.2294
24310;157.9595
24400;158.0755
24489;158.0291
24581;157.9804
24667;157.7384
24761;157.8447
24852;157.8588
24943;157.9319
25032;157.8398
25119;157.7149
25205;157.7522
25297;157.6147
25387;157.5787
25477;157.6917
25570;157.5738
25659;157.6208
25748;157.7141
25837;157.9231
25933;157.7498
26016;157.8842
26107;157.856
26198;157.8927
26286;158.0265
26375;158.218
26465;158.2582
26554;158.279
26646;158.2386
26739;158.433
26825;158.6198
26915;158.6596
27006;158.6108
27093;158.7682
27185;158.6501
27276;158.6938
27364;158.911
27455;158.7652
27545;158.6025
27634;158.9193
27724;158.7321
27818;158.5423
27904;158.857
27994;158.7632
28088;158.6342
28174;158.8359
28263;158.8463
28356;158.5884
28445;158.7299
28534;158.7898
28626;158.5343
28714;158.6617
28805;158.5252
28893;158.2408
28987;158.3155
29075;158.1445
29165;157.8266
29253;157.7697
29351;157.9092
29440;157.9715
29521;157.7675
29614;157.911
29707;157.8659
29795;157.9179
29885;157.9192
29973;157.8885
30067;158.2757
30148;158.5299
30243;158.4587
30334;158.4368
30424;158.3305
30512;158.2831
30609;158.6433
30699;158.3574
30790;158.4469
30877;158.4157
30959;158.3787
31050;158.2525
31148;158.3741
31230;158.2125
31322;158.134
31412;157.9981
31498;157.8354
31594;157.7515
31681;158.0194
31770;157.8906
31860;157.8163
31951;157.7549
32038;157.649
32127;157.6364
32216;157.6319
32311;157.7675
32404;157.8181
32486;157.9591
32577;157.7728
32669;157.8712
32755;158.1006
32852;158.3693
32940;158.5345
33026;158.7515
33115;158.5974
33205;158.4431
33293;158.6718
33386;158.5143
33473;158.5921
33563;158.3727
33654;158.3036
33743;158.1982
33827;158.2734
33922;158.1609
34014;158.0453
34096;157.9347
34190;157.9653
34280;157.8839
34365;157.6982
34455;157.7129
34545;157.6591
34638;157.6769
34731;157.5271
34817;157.4946
34907;157.3841
34997;157.4325
35087;157.3064
35171;157.3967
35264;157.3526
35355;157.3167
35444;157.3893
35535;157.6816
35624;157.6565
35717;157.6586
35808;157.6716
35898;157.8564
35987;158.1076
36079;158.2209
36165;158.2308
36251;158.1636
36341;158.157
36431;157.8169
36520;158.1263
36607;157.9868
36700;157.8597
36788;158.0472
36878;157.9824
36968;157.9142
37061;157.9862
37151;157.82
37238;157.6508
37327;157.7524
37417;157.6855
37509;157.5961
37597;157.4282
37687;157.5296
37774;157.4042
37865;157.2719
37956;157.2644
38044;157.0669
38135;157.1457
38222;157.2861
38313;157.443
38402;157.527
38492;157.501
38582;157.539
38672;157.7041
38761;157.8487
38851;157.9438
38940;158.1003
39029;158.0232
39120;157.8016
39209;157.9008
39304;157.9582
39390;157.9223
39482;158.034
39569;157.8689
39659;157.7312
39748;157.8242
39839;157.6833
39928;157.5999
40020;157.732
40110;157.5586
40199;157.5048
40287;157.4514
40377;157.4179
40468;157.4682
40556;157.3724
40647;157.4493
40738;157.1421
40825;157.1493
40918;157.2176
41008;157.1714
41099;157.1761
41188;157.1264
41280;157.2026
41368;157.2396
41458;157.3983
41548;157.5524
41635;157.6054
41724;157.7271
41813;157.8106
41908;157.9937
41998;157.9868
42086;158.0519
42175;157.8709
42264;158.0406
42354;157.9799
42446;157.9982
42536;158.026
42623;157.9024
42714;157.8631
42805;157.837
42893;157.8638
42980;157.8057
43079;157.6438
43168;157.4959
43257;157.4442
43348;157.3551
43437;157.3522
43521;157.1273
43612;157.1695
43704;157.2268
43787;157.1507
43885;157.3943
43976;157.3381
44064;157.4795
44153;157.574
44240;157.6949
44335;157.8889
44420;158.0662
44507;158.1226
44606;158.1183
44693;158.3579
44780;158.3111
44870;158.4668
44960;158.5452
45054;158.4209
45138;158.3891
45228;158.6017
45323;158.4624
45409;158.3055
45500;158.2003
45591;158.1152
45681;158.0091
45769;157.872
45861;157.8967
45946;157.8082
46040;157.6276
46129;157.5034
46215;157.408
46313;157.2506
46405;157.2967
46487;157.3202
46578;157.3512
46668;157.3054
