Time (ms); Pri Amplitude (mm)
58300;118.0631
58385;118.2511
58478;118.4503
58565;118.4323
58648;118.5783
58737;118.5126
58826;118.7349
58909;118.952
58999;118.9764
59088;119.1247
59174;119.1692
59258;119.2034
59355;119.322
59431;119.331
59522;119.1424
59610;118.9977
59692;118.8633
59786;119.0489
59872;118.9488
59956;118.7264
60050;118.7046
60135;118.5197
60218;118.3349
60307;118.3285
60392;118.2014
60478;118.0195
60578;117.7329
60657;117.6847
60738;117.5363
60831;117.5745
60921;117.2788
61002;117.2284
61094;117.0756
61172;117.0435
61262;117.0321
61350;116.9504
61442;116.9285
61522;116.7237
61610;116.585
61699;116.6536
61790;116.6726
61876;116.6739
61961;116.6218
62054;116.5524
62141;116.7151
62226;116.7841
62312;116.9102
62394;116.8642
62487;116.8432
62568;117.078
62654;117.0955
62743;117.3633
62835;117.4146
62922;117.6483
63009;117.7726
63099;117.9097
63181;118.0396
63274;118.1466
63355;118.2166
63441;118.2726
63529;118.4301
63617;118.6336
63704;118.6697
63790;118.7813
63880;118.8381
63963;118.9028
64055;119.0269
64142;119.0637
64233;118.8268
64315;118.7518
64401;118.7276
64501;118.7457
64578;118.7274
64664;118.5683
64749;118.4047
64850;118.3362
64925;118.2197
65014;118.1125
65097;117.9893
65191;117.8512
65277;117.5171
65359;117.4738
65449;117.3615
65540;117.3789
65631;117.1804
65713;117.0706
65797;116.9508
65881;116.9128
65974;116.9031
66057;116.8624
66146;116.7915
66233;116.6815
66317;116.5555
66408;116.6859
66494;116.7593
66581;116.668
66665;116.7539
66764;116.882
66848;116.9902
66927;117.1025
67018;117.3056
67101;117.4062
67192;117.4231
67276;117.557
67369;117.7071
67449;117.8151
67536;117.8119
67625;118.0229
67714;118.1419
67800;118.3027
67894;118.5129
67978;118.5339
68058;118.6095
68147;118.6458
68235;118.6651
68321;118.751
68407;118.7111
68492;118.7707
68586;118.7054
68670;118.648
68757;118.7717
68842;118.6668
68931;118.5909
69014;118.2757
69108;118.2647
69199;118.2272
69276;118.2656
69367;117.9797
69452;117.8728
69537;117.7772
69630;117.6869
69715;117.4879
69805;117.4637
69888;117.3042
69974;117.1746
70053;116.9579
70150;117.0098
70236;117.0036
70326;116.9208
70409;116.7253
70499;116.7791
70591;116.7042
70671;116.6697
70760;116.6117
70843;116.5858
70931;116.5336
71026;116.6217
71105;116.5939
71193;116.7235
71280;116.7779
71368;116.8915
71454;117.0261
71544;117.1329
71632;117.3115
71717;117.5546
71803;117.5767
71890;117.5819
71976;117.647
72061;117.8537
72149;117.9797
72246;118.0622
72327;118.1997
72415;118.3586
72501;118.5661
72584;118.7176
72673;118.7461
72762;118.6075
72848;118.6498
72931;118.6183
73020;118.6813
73110;118.4928
73194;118.5427
73285;118.5334
73370;118.4543
73453;118.2669
73543;118.2589
73639;118.0972
73716;117.8597
73804;117.7871
73892;117.7237
73974;117.6194
74063;117.4759
74148;117.3622
74244;117.201
74324;117.1314
74412;117.011
74498;117.0404
74590;116.9203
74671;116.6188
74765;116.6585
74845;116.6617
74931;116.6916
75018;116.546
75108;116.6049
75201;116.5559
75286;116.4869
75366;116.5095
75463;116.5841
75543;116.5657
75629;116.552
75722;116.6582
75803;116.8941
75892;116.9403
75978;117.1357
76066;117.1899
76151;117.391
76233;117.5088
76326;117.7232
76412;117.6907
76499;117.6444
76595;117.8757
76672;118.0757
76762;118.1019
76848;118.1918
76934;118.4146
77027;118.4528
