Time (ms); Pri Amplitude (mm)
31308;157.193
31403;157.2153
31492;157.0534
31576;157.1435
31670;157.0854
31755;156.809
31845;156.4955
31938;156.608
32028;156.66
32117;156.4677
32203;156.493
32294;156.4287
32385;156.1496
32471;156.18
32560;155.9173
32650;155.9091
32744;155.7938
32833;155.7073
32929;155.5563
33014;155.6974
33105;155.9104
33190;155.9283
33280;155.9807
33374;155.8856
33463;156.1626
33555;156.1656
33644;156.449
33734;156.7986
33820;157.339
33915;157.4758
34000;157.3448
34089;157.3865
34185;157.4013
34274;157.3702
34360;157.1439
34453;156.7498
34544;156.8549
34632;156.8519
34721;156.7041
34811;156.4938
34898;156.5141
34989;156.2901
35081;156.1563
35165;156.1199
35260;155.9136
35347;155.8516
35437;155.8759
35527;155.9096
35614;155.9121
35706;156.0633
35797;156.0341
35885;156.249
35973;156.1131
36066;156.048
36161;156.205
36244;156.4555
36333;156.7509
36423;156.7509
36517;156.9033
36609;156.8919
36697;157.0892
36782;157.0564
36876;156.8358
36965;156.7577
37051;156.5489
37141;156.4178
37228;156.6347
37325;156.329
37412;156.3939
37502;156.3806
37588;156.2711
37686;156.0965
37779;156.0942
37861;156.0332
37952;155.9897
38044;155.739
38128;155.6621
38218;155.7762
38309;155.834
38400;155.9226
38488;155.905
38582;155.9365
38670;155.8825
38758;156.139
38849;156.3842
38937;156.6448
39031;156.8717
39122;157.1389
39204;156.9344
39293;157.1488
39385;157.2447
39477;157.2284
39573;157.2061
39661;157.0969
39751;156.9375
39837;157.1525
39927;157.0339
40012;156.9048
40107;157.0193
40199;156.8535
40279;156.8646
40368;156.8583
40463;156.7223
40555;156.3619
40641;156.1366
40730;155.8936
40821;155.8724
40910;155.7614
40999;155.7839
41093;155.8592
41179;155.9962
41266;155.8974
41356;155.9402
41446;156.0845
41541;156.5527
41624;156.972
41715;157.1934
41804;156.9651
41901;156.8863
41983;156.9823
42075;157.2501
42163;157.2607
42253;156.9695
42344;156.9394
42431;157.0431
42520;156.8458
42617;156.8967
42702;156.8733
42790;156.5603
42881;156.4346
42970;156.3154
43068;156.3154
43156;156.2064
43240;155.9457
43340;155.7784
43421;155.5542
43507;155.6003
43602;155.892
43688;155.7613
43778;155.8826
43869;155.8866
43959;155.8201
44048;156.1283
44138;156.1512
44228;156.4142
44317;156.7118
44405;156.728
44506;156.7952
44584;157.0977
44673;157.156
44765;157.1099
44861;157.2028
44949;156.8722
45037;156.8308
45123;156.7375
45214;156.7166
45302;156.6552
45393;156.4819
45485;156.3839
45571;156.2029
45667;156.2864
45755;156.2301
45841;156.0306
45938;156.1153
46020;155.9971
46111;155.7675
46205;155.9739
46294;155.9357
46383;156.0006
46472;155.7567
46563;155.6587
46653;155.6715
46746;155.6725
46834;155.4925
46923;155.8066
47014;155.7128
47105;155.7795
47194;155.7047
47281;156.0177
47374;156.1255
47462;156.5962
47549;156.7516
47641;156.6682
47731;156.7463
47819;156.9423
47912;156.9888
47998;157.0182
48092;157.1151
48182;156.9527
48272;157.1587
48358;157.0145
48456;157.1418
48542;157.2203
48632;157.2617
48725;156.9871
48815;156.8991
48903;156.8335
48992;156.6387
49081;156.6328
49171;156.5096
49262;156.3943
49351;156.2602
49441;156.1077
49533;155.9348
49620;155.9481
49712;155.8083
49804;155.5855
49891;155.7456
49976;155.8975
50078;155.9731
50164;155.9399
50247;155.9346
50342;155.9595
50434;156.1931
50519;156.7512
50609;156.7683
50704;157.1198
50790;156.9924
50880;156.8967
50970;157.0854
51059;156.9672
51149;156.9317
51237;156.9335
51329;156.689
51421;156.6684
51510;156.8251
51596;156.7137
51688;156.7131
51777;156.6027
51866;156.5363
51963;156.4559
52054;156.5232
52135;156.5662
52231;156.6028
52319;156.4524
52400;156.3595
52491;156.4896
52589;156.5826
52673;156.4052
52771;156.3177
52856;156.033
52950;155.7658
53036;155.8509
53123;155.9134
53215;155.8239
53305;155.7624
53393;155.6594
53481;155.6516
53570;155.6857
53663;156.0542
53747;156.2101
53842;156.3676
53932;156.3287
54021;156.2857
54115;156.4584
54203;156.5629
54292;156.368
54382;156.2687
54473;156.1265
54555;155.9534
54654;156.2067
54737;156.191
54829;156.0535
54922;156.1003
55013;155.7388
55102;155.7498
55192;155.6961
55280;155.7411
55366;155.5273
55458;155.5351
55550;155.4677
55638;155.505
55735;155.6531
55820;155.4889
55909;155.5704
56002;155.6794
56100;155.7335
56176;156.0195
