11573,56.39
11645,56.33
11723,56.28
11796,56.21
11861,56.14
11943,56.03
12011,55.89
12083,55.74
12159,55.57
12229,55.36
12298,55.13
12376,54.89
12446,54.66
12518,54.44
12594,54.23
12669,54.04
12741,53.85
12811,53.69
12880,53.6
12951,53.54
13027,53.5
13100,53.46
13178,53.43
13249,53.39
13318,53.37
13392,53.38
13466,53.41
13542,53.47
13612,53.56
13683,53.68
13760,53.88
13829,54.1
13903,54.35
13975,54.61
14047,54.87
14120,55.12
14195,55.33
14267,55.55
14340,55.74
14412,55.87
14486,56
14558,56.1
14631,56.16
14705,56.21
14782,56.25
14852,56.32
