Time (ms); Pri Amplitude (mm)
34285;160.213
34373;160.2648
34462;160.1668
34552;160.1122
34641;160.2264
34723;160.1775
34818;160.2135
34907;159.9757
35003;159.8732
35090;159.4387
35179;159.2647
35267;159.3396
35357;159.2203
35448;159.3258
35539;159.4378
35626;159.3742
35718;159.2984
35806;159.3994
35900;159.3272
35989;159.8435
36068;160.0204
36169;160.0752
36255;159.9124
36340;159.8554
36431;159.8488
36519;159.8277
36610;159.6562
36705;159.7025
36792;159.8001
36876;159.8702
36973;159.9138
37060;159.8831
37145;159.7508
37239;159.8499
37331;160.0628
37419;160.2889
37508;160.3151
37596;160.0993
37686;160.1745
37775;159.9993
37866;160.07
37950;160.0402
38040;159.9865
38128;160.0217
38222;159.9618
38313;159.9183
38403;159.8451
38491;159.9795
38582;159.994
38672;159.9017
38762;159.9407
38853;159.7866
38942;159.6241
39030;159.3767
39120;159.2482
39211;159.1996
39299;159.3053
39393;159.4067
39478;159.2219
39573;159.2043
39659;159.3081
39750;159.2777
39838;159.1988
39930;159.2402
40017;159.0424
40102;158.9569
40196;158.8322
40286;158.8934
40375;159.0925
40465;159.0361
40553;159.2084
40645;159.1083
40734;159.1779
40822;159.3576
40912;159.4999
41003;159.7984
41094;159.7727
41181;159.598
41271;159.4561
41360;159.3639
41452;159.2358
41540;159.3739
41630;159.3617
41717;159.0903
41813;159.0971
41905;158.9609
41991;159.0189
42078;158.7592
42168;158.9039
42257;158.722
42349;158.7112
42439;158.8281
42528;158.8604
42617;158.6056
42711;158.4733
42801;158.5423
42890;158.5666
42979;158.6806
43066;158.8245
43156;158.8392
43249;158.684
43336;158.7873
43427;158.84
43520;159.0731
43606;159.2846
43695;159.5323
43787;160.034
43874;160.1545
43964;160.0401
44054;160.3682
44145;160.6078
44239;160.4118
44325;160.3538
44415;160.5228
44504;160.4966
44601;160.2955
44688;160.4635
44776;160.588
44864;160.557
44955;160.6179
45045;160.7673
45133;160.8328
45228;160.6886
45319;160.6714
45407;160.5835
