Time (ms); Pri Amplitude (mm)
1121;154.5242
2174;155.3622
2259;155.2956
2341;155.1696
2425;155.1671
2511;155.0962
2594;154.8806
2678;154.8816
2765;154.8776
2846;154.9266
2931;154.8307
3015;154.7876
3100;154.7161
3187;154.499
3269;154.4395
3352;154.4009
3437;154.2962
3525;154.3548
3606;154.355
3690;154.3104
3778;154.3279
3858;154.4014
3942;154.6275
4027;154.8794
4113;154.9192
4196;155.0408
4282;155.1942
4365;155.2153
4449;155.2582
4534;155.1735
4619;155.3108
4702;155.1146
4791;155.0129
4871;154.9846
4956;155.0925
5040;154.9872
5126;154.8686
5211;154.9029
5294;154.6556
5377;154.5932
5461;154.6336
5546;154.5972
5630;154.5631
5714;154.6037
5800;154.4818
5883;154.4096
5971;154.464
6052;154.5231
6136;154.6048
6220;154.605
6305;154.6787
6389;154.7897
6474;154.8248
6559;154.9087
6642;155.0699
6727;155.0565
6812;155.1977
6896;155.2333
6980;155.0969
7064;155.1507
7148;155.1774
7233;155.1988
7319;155.0703
7402;155.1894
7486;154.9891
7571;154.948
7655;154.889
7740;154.9404
7824;154.9459
7908;154.8683
7993;154.7348
8077;154.6724
8162;154.5161
8245;154.531
8329;154.5517
8413;154.5013
8498;154.5442
8585;154.4547
8666;154.5243
8751;154.5756
8836;154.7646
8920;154.9876
9005;155.0963
9096;155.3473
9190;155.3418
9272;155.2627
9352;155.3996
9433;155.4518
9521;155.365
9603;155.2667
9688;155.1697
9770;155.1248
9857;154.9919
9939;154.9853
10022;154.952
10114;154.9498
10196;154.8337
10281;154.7486
10359;154.6694
10445;154.5624
10536;154.5679
10616;154.4807
10700;154.4456
10783;154.4904
10868;154.3837
10950;154.492
11034;154.5858
11119;154.5715
11209;154.6487
11292;154.7141
11373;154.6001
11463;154.5954
11547;154.6204
11634;154.72
11709;154.8387
11794;155.2113
11880;155.5775
11965;155.7129
12053;155.8123
12131;155.9347
12215;155.9673
13145;155.3506
13218;155.4419
13303;155.3259
13392;155.2995
13471;155.1302
13560;155.1392
13644;154.973
13723;155.15
13816;154.979
13900;154.9912
13974;154.9566
14061;154.817
14145;154.79
14227;154.6324
14316;154.5924
14407;154.5498
14484;154.4358
14573;154.4296
14657;154.3502
14738;154.3483
14822;154.4194
14907;154.4813
14989;154.5829
15075;154.7401
15158;154.8796
15242;154.894
15329;155.0477
15411;155.2555
15497;155.2949
15581;155.3642
15665;155.3425
15748;155.2188
15836;155.1885
15924;155.1874
16004;155.2514
16088;155.0528
16171;154.9977
16254;154.948
16342;154.737
16425;154.8413
16510;154.7419
16592;154.8472
16683;154.756
16769;154.6743
16847;154.4892
16934;154.5018
17017;154.4362
17101;154.4258
17190;154.313
17264;154.4314
17357;154.3752
17436;154.4139
17521;154.4357
17603;154.6201
17696;154.8663
17772;155.0544
17859;155.1427
17943;155.1753
18027;155.2786
18115;155.3681
18198;155.3062
18279;155.2488
18362;155.2203
18452;155.1697
18537;155.0442
18617;155.0876
18706;154.9933
18789;155.0161
18871;154.9294
18963;154.8224
19044;154.741
19133;154.7062
19211;154.7627
19288;154.6059
19380;154.6083
19462;154.4615
19545;154.3677
19629;154.341
19714;154.3837
19796;154.4436
19883;154.4175
19966;154.5522
20049;154.5419
20136;154.5418
20227;154.7416
20303;154.9155
20394;155.2365
