Time (ms); Pri Amplitude (mm)
31149;150.1869
31229;150.1357
31300;150.1341
31379;150.0446
31447;150.0385
31524;149.9032
31589;149.8495
31655;149.8324
31734;149.6062
31805;149.5269
31882;149.4573
31948;149.2744
32030;149.3095
32102;149.5914
32180;149.5678
32248;149.6016
32321;149.5779
32390;149.5485
32457;149.4747
32536;149.4482
32605;149.4892
32677;149.4774
32750;149.3928
32830;149.3265
32898;149.3972
32969;149.5048
33046;149.4828
33114;149.6408
33202;149.7201
33265;149.8892
33341;150.1375
33413;150.1949
33485;150.3089
33556;150.4331
33630;150.5485
33700;150.7106
33778;150.7244
33852;150.8266
33922;150.7418
33995;150.7398
34063;150.6606
34136;150.7038
34210;150.6405
34280;150.5255
34360;150.4995
34428;150.4705
34502;150.4568
34575;150.42
34655;150.3659
34726;150.0771
34799;149.89
34867;149.907
34941;149.8457
35010;149.7261
35091;149.6941
35167;149.686
35231;149.8131
35307;150.0924
35375;150.1603
35456;150.0838
35525;149.907
35597;149.8606
35671;149.8208
35737;149.8373
35810;149.8595
35889;149.8927
35967;149.9059
36035;150.0135
36107;150.149
36175;150.3731
36247;150.4618
36330;150.5475
36398;150.6795
36473;150.8338
36542;150.9802
36617;151.0123
36694;151.1792
36760;151.2491
36836;151.2209
36907;151.2118
36987;151.1556
37056;151.1533
37125;151.1392
37199;151.0486
37270;150.9787
37346;150.876
37423;150.7744
37487;150.7484
37558;150.6611
37640;150.6511
37704;150.4373
37781;150.5276
37856;150.3505
37929;150.2313
37999;150.1888
38078;150.0622
38145;150.0739
38222;150.0536
38301;149.9189
38364;149.9076
38438;149.8653
38515;149.8991
38583;149.7779
38658;149.8862
38733;149.7639
38811;149.7853
38876;149.8148
38948;149.8318
39019;149.8482
39094;149.9066
39171;149.9544
39243;150.0141
39316;150.2705
39383;150.2911
39458;150.4223
39539;150.5393
39608;150.7173
39676;150.7798
39754;150.9428
39828;150.9961
39910;151.0586
39979;151.0253
40042;150.9622
40109;150.9596
40187;150.863
40260;150.7987
40333;150.7811
40408;150.743
40484;150.7238
40553;150.6719
40626;150.6073
40705;150.5
40780;150.3656
40844;150.2807
40914;150.1081
40989;150.0726
41062;149.9873
41140;149.8746
41208;149.9162
41278;149.846
41359;149.487
41424;149.4005
41493;149.6123
41583;149.4587
41641;149.5439
41714;149.583
41793;149.622
41861;149.6234
41938;149.5404
42007;149.8035
42085;149.8217
42154;150.0514
42233;150.1054
42294;150.2394
42373;150.3167
42447;150.5627
42512;150.6808
42593;150.8175
42667;150.8732
42733;150.977
42808;150.9175
42879;150.9184
42956;150.8466
43023;150.6302
43096;150.5688
43168;150.5688
43240;150.5016
43317;150.4061
43387;150.4118
43465;150.323
43533;150.2403
43607;150.1466
43678;149.9192
43752;149.9266
43822;149.7896
43899;149.7381
43970;149.5784
44046;149.5745
44128;149.5477
44190;149.5074
44258;149.3992
44332;149.5232
44405;149.4915
44480;149.4457
44562;149.425
44632;149.5206
44698;149.4733
44782;149.5955
44846;149.6716
44917;149.8057
44990;149.9577
45062;150.0781
45142;150.2489
45217;150.3794
45285;150.555
45353;150.63
45432;150.8129
45510;150.9712
45571;151.0862
45644;150.9426
45716;150.9657
45790;150.9256
45867;150.8509
45942;150.7684
46011;150.6294
46081;150.6266
46159;150.5996
46226;150.5058
46301;150.412
46374;150.3775
46447;150.2903
46520;150.0983
46594;149.9698
46663;149.7254
46737;149.7138
46815;149.674
46886;149.6372
46955;149.627
47037;149.5257
47102;149.631
47177;149.4686
47251;149.4816
47325;149.4867
47396;149.4773
47470;149.4465
47541;149.5185
47613;149.9337
47687;149.8257
47760;149.6974
47833;149.9438
47906;150.1324
47975;150.2719
48048;150.3461
48119;150.4741
48203;150.5646
48273;150.6842
48347;150.95
48414;151.3684
48488;151.3253
48558;151.3575
48634;151.1618
48711;151.1721
48781;150.9868
48857;151.0038
48927;150.9682
49000;150.8993
49072;150.8179
49146;150.6495
49218;150.6348
49291;150.5499
49369;150.2884
49447;150.2224
49515;150.1
49593;150.0129
49659;150.0215
49737;150.0036
49803;149.9268
49878;149.9515
49950;149.9241
50026;149.8889
50099;149.8156
50169;149.8113
50252;149.8212
50315;149.8023
50385;149.744
50461;149.8532
50534;149.9373
50607;149.92
50681;150.0033
50754;150.135
50828;150.2312
50898;150.4192
50973;150.4814
51057;150.6444
51116;150.7274
51191;150.9456
51261;151.0076
51336;151.1777
51411;151.2614
51482;151.1421
51553;151.1227
51631;151.1025
51700;151.0014
51777;150.933
51845;150.8364
51914;150.6682
51992;150.6601
52064;150.5767
52139;150.5289
52216;150.2977
52282;150.3466
52361;150.2756
52428;150.1922
52505;150.0725
52575;149.9524
52647;150.0211
52720;149.9541
52794;149.9285
52869;149.9333
52938;149.8542
53011;149.9034
53084;149.9187
53157;149.9527
53226;149.9279
53299;149.957
53380;149.9766
53453;150.0061
53527;149.9954
53594;150.2207
53666;150.2763
53742;150.4291
53814;150.4853
53888;150.6659
53961;150.8291
54034;150.9053
54107;150.9756
54177;151.0307
54248;150.9696
54318;150.9269
54398;150.8567
54470;150.7636
54542;150.6689
54619;150.5515
