Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
134036;17.1886;23.0085;
134118;17.0603;23.405;
134192;17.1392;23.5522;
134259;17.3456;23.8962;
134329;17.3123;23.9125;
134403;17.3555;23.702;
134474;17.3889;22.9116;
134550;17.5479;21.9453;
134624;17.6329;21.0211;
134693;17.6102;20.1541;
134774;17.492;19.2514;
134840;17.3339;18.3747;
134913;17.388;17.609;
134986;17.277;16.8584;
135064;17.1207;16.4162;
135135;17.0268;15.582;
135202;16.9834;14.8398;
135282;16.8763;14.306;
135351;16.8729;13.67;
135424;16.6631;13.3487;
135496;16.6898;13.028;
135569;16.6505;12.7294;
135643;16.4771;12.3785;
135714;16.4754;12.0577;
135785;16.384;11.8414;
135861;16.3161;11.6881;
135930;16.2357;11.4286;
136007;16.2524;11.4172;
136081;16.167;11.3573;
136155;16.0025;11.5663;
136225;15.991;11.2417;
136296;16.0003;11.1541;
136372;16.1138;10.8952;
136441;16.0835;10.6618;
136515;15.9804;10.5371;
136589;16.008;10.4771;
136661;16.0393;10.5151;
136735;16.0627;10.417;
136806;16.0434;10.5928;
136880;16.0629;10.7126;
136951;16.0675;10.938;
137021;16.0802;11.2883;
137096;16.1387;11.5767;
137170;16.0242;12.1824;
137242;15.9917;12.8465;
137320;16.018;13.2164;
137385;16.0443;13.8098;
137462;16.1874;14.2058;
137532;16.2699;14.7138;
137605;16.4471;15.1387;
137684;16.4947;15.7019;
137753;16.5644;16.3109;
137828;16.5994;16.7615;
137897;16.6458;17.3138;
137971;16.6769;17.6751;
138043;16.7591;18.1735;
138117;16.7706;18.6638;
138191;16.7979;19.2503;
138263;16.7697;19.5332;
138341;16.8741;20.0581;
138412;16.9136;20.4767;
138484;17.0315;20.8661;
138559;17.013;21.4504;
138630;17.1296;22.0496;
138700;17.2024;22.6709;
138773;17.1867;22.9891;
138845;17.3211;23.3847;
138922;17.2574;23.7407;
138991;17.3118;23.9802;
139062;17.3911;24.3012;
139142;17.3539;24.6815;
139214;17.3402;24.4101;
139284;17.409;23.8116;
139359;17.5961;22.969;
139429;17.8131;21.9907;
139499;17.7561;21.1935;
139575;17.6405;20.2111;
139646;17.6849;19.6064;
139723;17.5681;18.9969;
139796;17.5395;18.2683;
139871;17.3561;17.7338;
139941;17.3883;17.1137;
140013;17.2491;16.6433;
140093;17.1675;16.1654;
140157;17.0729;15.7655;
140229;16.912;15.374;
140301;16.9186;14.6197;
140382;16.8429;14.3112;
140449;16.7834;13.7151;
140529;16.6368;13.2174;
140599;16.5775;12.7498;
140673;16.5545;12.4114;
140740;16.5205;12.0281;
140815;16.4316;11.7185;
140885;16.3572;11.5192;
140962;16.3051;11.1449;
141042;16.3216;11.044;
141110;16.2785;10.9685;
141182;16.1878;10.9288;
141252;16.0728;11.1191;
141321;16.1068;11.5058;
141394;16.1291;11.4926;
141472;16.1483;11.8527;
141538;16.209;12.1841;
141612;16.2256;12.7256;
141689;16.29;13.2995;
141762;16.2954;13.9819;
141832;16.3594;14.5128;
141907;16.4254;14.9395;
141978;16.5891;15.436;
142048;16.5168;15.8083;
142123;16.6354;16.4101;
142199;16.6481;16.995;
142272;16.676;17.6096;
142343;16.6459;18.1976;
142415;16.6039;18.4103;
142488;16.6987;18.7122;
142563;16.8508;19.1222;
142630;16.7891;19.536;
142707;16.7939;19.9646;
142782;16.9317;20.3883;
142851;16.9287;21.0752;
142926;17.0516;21.5078;
142999;17.052;21.9099;
143072;17.175;22.2962;
143148;17.1256;22.5982;
143215;17.2102;23.0407;
143301;17.2204;23.1598;
143363;17.119;23.1853;
143442;17.1673;22.9028;
143512;17.3253;22.2348;
143590;17.4357;20.655;
143662;17.4417;19.736;
143726;17.4396;19.0781;
143800;17.4207;18.1739;
143872;17.2735;17.553;
143944;17.2765;16.9307;
144017;17.1204;16.35;
144092;17.0404;15.7898;
144171;16.9418;15.1863;
144241;16.9075;14.8082;
144311;16.7837;14.4217;
144391;16.5798;14.4075;
144457;16.4704;13.8751;
144527;16.4528;13.4997;
144603;16.541;13.0634;
144678;16.4878;12.594;
144744;16.3157;12.2948;
144820;16.4074;12.0946;
144897;16.359;11.9461;
144968;16.2264;11.7907;
145043;16.3013;11.6097;
145114;16.1436;11.4602;
145188;16.1765;11.4743;
145257;16.1852;11.5728;
145334;16.1514;11.6031;
145406;16.1536;11.7768;
145476;16.0338;12.602;
145550;15.9844;12.9968;
145623;16.0928;13.5492;
145695;16.1321;14.2281;
145767;16.2013;14.6679;
145840;16.2605;15.1846;
145914;16.3201;15.6623;
145989;16.4546;16.3811;
146057;16.4919;16.9152;
146129;16.5727;17.3501;
146201;16.6466;17.8857;
146277;16.6391;18.2592;
146350;16.7712;18.6306;
146424;16.764;18.9076;
146498;16.6865;19.6667;
146572;16.707;19.9094;
146640;16.7735;20.251;
146714;16.8315;20.7193;
146787;16.9741;20.9148;
146863;17.005;21.3349;
146934;17.18;21.5878;
147013;17.3137;21.9516;
147080;17.4441;22.2778;
147150;17.5045;22.5883;
147222;17.6135;22.891;
147296;17.5621;23.2167;
147367;17.6858;23.2386;
147445;17.7525;23.2442;
147511;17.7275;22.8312;
147587;17.6956;21.9399;
147660;17.9508;20.9437;
147730;17.9076;19.7921;
147805;17.9843;18.8082;
147880;17.7423;18.0881;
147951;17.7289;17.2079;
148022;17.6487;16.5605;
148096;17.5294;16.0782;
148175;17.4056;15.4178;
148245;17.3738;14.9764;
148319;17.2655;14.3581;
148388;17.1119;13.8634;
148462;17.1479;13.4319;
148532;16.8808;13.2972;
148605;16.8126;13.1819;
148680;16.7532;12.5777;
148752;16.6609;12.24;
148826;16.7444;11.8199;
148899;16.6184;11.535;
148972;16.5387;11.3097;
149043;16.5084;11.0747;
149121;16.518;10.9449;
149189;16.4467;10.746;
149264;16.4155;10.7637;
149337;16.4978;10.6746;
149413;16.329;10.7015;
149479;16.4149;10.6803;
149554;16.3226;10.5805;
149626;16.1979;10.9439;
149698;16.2378;11.3169;
149771;16.252;11.5981;
149848;16.2261;12.1917;
149918;16.3206;12.7497;
149992;16.3432;13.3172;
150068;16.5175;13.6854;
150136;16.5482;14.2875;
150211;16.5917;14.7428;
150284;16.6647;15.2202;
150361;16.6957;15.777;
150431;16.8043;16.0391;
150501;16.8563;16.592;
150577;16.9241;17.1909;
150649;16.9303;17.7637;
150721;16.8793;18.4307;
150791;16.9255;18.8572;
150867;16.9954;19.411;
150936;17.0212;19.8373;
151012;17.2117;20.2265;
151086;17.2096;20.8968;
151153;17.3052;21.4558;
151226;17.2666;22.0232;
151302;17.3176;22.5603;
151379;17.4121;23.0854;
151447;17.4299;23.5332;
151519;17.5845;23.7864;
151596;17.5561;24.0109;
151666;17.5643;23.967;
151737;17.5009;23.5673;
151813;17.695;22.294;
151884;17.81;20.9022;
151962;17.8794;19.5973;
152035;17.8848;18.5362;
152103;17.7129;17.8212;
152177;17.6267;17.0679;
152252;17.6129;16.3427;
152329;17.4042;15.767;
152400;17.261;15.1647;
152467;17.2183;14.7025;
152538;17.0881;14.134;
152610;17.0758;13.69;
152682;16.9259;13.2908;
152764;16.8325;12.7669;
152837;16.6036;12.7283;
152905;16.5179;12.5705;
152977;16.5304;12.0816;
153056;16.4986;11.8317;
153122;16.5737;11.3709;
153197;16.4922;11.278;
153270;16.3915;11.0159;
153346;16.3588;10.9097;
153416;16.3673;10.8951;
153492;16.3599;10.7799;
153569;16.3104;10.6495;
153637;16.2964;10.6649;
153709;16.2991;10.8148;
153784;16.2599;10.8586;
153851;16.2965;10.8514;
153929;16.1728;11.34;
154000;16.151;11.7062;
154072;16.2197;11.911;
154145;16.2572;12.373;
154215;16.4443;12.6606;
154288;16.3905;13.0073;
154361;16.6781;13.3649;
154437;16.7844;13.8723;
154507;16.793;14.3104;
154583;16.8305;14.6078;
154655;16.9629;15.2481;
154723;16.9593;15.6591;
154798;17.0251;16.0753;
154873;17.0515;16.7167;
154947;17.0896;17.3087;
155017;16.9438;17.7606;
155090;17.0919;18.069;
155162;17.1529;18.5307;
155235;17.2854;19.0528;
155313;17.2535;19.3117;
155387;17.3534;19.7317;
155462;17.4518;20.1462;
155531;17.4055;20.748;
155603;17.4549;21.0829;
155673;17.4691;21.5071;
155749;17.5546;21.8924;
155820;17.5623;21.9438;
155891;17.6537;22.0045;
155964;17.5243;22.0841;
156045;17.5951;21.6956;
156114;17.7015;20.5114;
156179;17.8829;19.4226;
156255;17.8985;18.2705;
156332;17.8544;17.3772;
156402;17.7895;16.4637;
156475;17.6653;15.8207;
156549;17.6344;15.3168;
156620;17.4665;14.6281;
156698;17.3585;14.1168;
156771;17.2488;13.62;
156835;17.3202;13.12;
156912;17.1476;12.7904;
156988;17.0897;12.3568;
157066;16.8395;12.3577;
157132;16.7988;12.2223;
157203;16.7603;11.8344;
157281;16.7587;11.5716;
157353;16.758;11.179;
157423;16.677;11.0332;
157496;16.6234;10.7702;
157567;16.6254;10.7028;
157639;16.6318;10.5656;
157713;16.5388;10.5794;
157786;16.5512;10.5426;
157858;16.6222;10.6518;
157931;16.5184;10.7794;
158009;16.4389;10.9606;
158076;16.5156;11.1273;
158154;16.4335;11.7184;
158229;16.3879;12.2932;
158299;16.3852;12.5414;
158375;16.3934;13.2423;
158442;16.491;13.7845;
158517;16.5087;14.2413;
158586;16.6288;14.7855;
158659;16.6103;15.2919;
158737;16.6911;16.069;
158804;16.7699;16.4635;
158889;16.8428;16.9961;
158954;16.8326;17.4595;
159030;16.8948;18.0029;
159109;16.9683;18.5173;
159177;16.9857;19.0783;
159244;16.9261;19.7293;
159315;16.9336;20.2571;
159388;16.9813;20.5874;
159462;17.116;21.0674;
159536;17.1451;21.3319;
159606;17.1652;21.7199;
159681;17.3062;22.0726;
159758;17.3516;22.319;
159826;17.3108;22.555;
159900;17.3895;22.796;
159970;17.3761;22.785;
160045;17.3982;22.5798;
160121;17.5061;21.9584;
160192;17.473;21.2692;
160264;17.48;20.8282;
160337;17.5056;19.6616;
160411;17.4657;18.9279;
160484;17.477;18.0895;
160559;17.4251;17.2131;
160637;17.3713;16.5647;
160705;17.3436;15.8705;
160771;17.273;15.4112;
160848;17.1605;14.7218;
160922;17.1269;14.3246;
160990;17.1227;13.7402;
161066;17.0508;13.409;
161138;17.0127;13.0523;
161215;16.8676;12.7306;
161290;16.6523;12.5873;
161363;16.6272;12.3831;
161431;16.6195;11.9357;
161503;16.5334;11.6308;
161575;16.5848;11.2509;
161651;16.5179;11.0714;
161719;16.5268;10.893;
161797;16.4734;10.7795;
161868;16.4614;10.6227;
161941;16.4465;10.6214;
162016;16.502;10.5176;
162082;16.4478;10.6073;
162155;16.4616;10.7932;
162229;16.4899;11.1283;
162300;16.472;11.5627;
162376;16.3408;12.2086;
162451;16.3279;12.8597;
162529;16.4403;13.3378;
162597;16.4226;14.0052;
162669;16.5323;14.4983;
162741;16.5972;15.1905;
162812;16.6388;15.6758;
162887;16.7607;16.3689;
162958;16.814;16.975;
163034;16.7977;17.573;
163109;16.8514;18.2343;
163176;16.8849;18.7604;
163255;17.0395;19.3649;
163323;17.0234;20.0897;
163393;16.992;20.5199;
163471;16.923;21.0802;
163540;16.9866;21.5138;
163613;17.0864;22.1784;
163693;17.2155;22.5752;
163759;17.2271;22.9405;
163835;17.2828;23.4732;
163908;17.3889;23.8072;
163982;17.4149;24.3635;
164049;17.4102;24.5626;
164129;17.4178;24.7674;
164198;17.4727;24.8423;
164273;17.5348;24.7836;
164346;17.5412;24.9161;
164417;17.571;24.4739;
164488;17.4983;23.9823;
164568;17.5392;23.2744;
164639;17.564;22.3955;
164710;17.6557;21.3933;
164779;17.6697;20.3409;
164853;17.5655;19.5629;
164925;17.5907;18.6073;
164996;17.5554;18.0098;
165072;17.4234;17.3727;
165144;17.382;16.6476;
165215;17.2228;16.0015;
165289;17.1956;15.4233;
165361;17.088;14.9365;
165434;17.0247;14.4567;
165507;16.8729;14.3231;
165583;16.7239;13.8186;
165654;16.7466;13.1008;
165727;16.8179;12.6896;
165798;16.7998;12.079;
165871;16.6548;11.7434;
165947;16.6518;11.4433;
166024;16.6784;11.2093;
166095;16.5789;10.9078;
166169;16.4856;10.8192;
166238;16.5054;10.6703;
166309;16.4538;10.5961;
166383;16.4741;10.6078;
166459;16.388;10.5994;
166531;16.4103;10.524;
166604;16.3497;10.684;
166672;16.1636;11.1666;
166754;16.3294;11.061;
166818;16.2444;11.6026;
166894;16.3135;12.2187;
166962;16.3595;12.7267;
167036;16.5131;13.2224;
167110;16.567;13.805;
167187;16.5263;14.3437;
167262;16.583;14.9102;
167327;16.6223;15.3066;
167400;16.7293;15.8834;
167475;16.8341;16.274;
167549;16.8425;16.7919;
167623;16.8902;17.1748;
167692;16.7658;17.6927;
167768;16.7364;18.0236;
167839;16.8295;18.4025;
167914;16.7893;18.9604;
167982;16.8868;19.4334;
168059;16.8991;19.9347;
168130;16.9096;20.559;
168214;17.0017;21.0106;
168282;17.0596;21.4621;
168349;17.1062;21.7618;
168421;17.2145;22.036;
168497;17.1878;22.4218;
168571;17.1759;22.7139;
168640;17.2651;22.9478;
168714;17.1786;23.1379;
168789;17.1503;22.9686;
168865;17.2562;22.3541;
168931;17.3449;21.7198;
169008;17.4653;20.6016;
169080;17.4356;19.6462;
169152;17.4312;18.9924;
169224;17.4593;18.2503;
169299;17.3303;17.5906;
169367;17.3015;16.9219;
169445;17.2379;16.2597;
169518;17.2255;15.7274;
169585;17.1026;15.2355;
169660;17.0913;14.8675;
169735;16.9013;14.5056;
169809;16.7551;14.5163;
169883;16.7672;13.8031;
169949;16.687;13.416;
170023;16.6573;12.917;
170098;16.5847;12.3987;
170168;16.5577;11.9967;
170244;16.5846;11.6049;
170314;16.599;11.4856;
170389;16.4849;11.1849;
170464;16.4563;11.0075;
170540;16.4219;11.0081;
170614;16.3585;10.9974;
170688;16.3377;11.0395;
170763;16.234;11.0002;
170825;16.2642;11.0272;
170897;16.1925;11.099;
170968;16.1669;11.5143;
171045;16.1575;11.3256;
171118;16.1491;11.8827;
171195;16.2127;12.5015;
171268;16.3227;12.9602;
