17:52:25   Default
03112021Patient8
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
94016;23.6629;29.0836;
94090;23.6699;28.6423;
94160;23.8887;28.3694;
94232;23.89;28.002;
94306;23.9066;27.8965;
94380;23.8935;27.6489;
94453;23.9745;27.5111;
94532;23.8086;27.3759;
94604;23.7426;27.272;
94672;23.7122;27.0762;
94746;23.8604;27.1065;
94818;23.597;27.091;
94896;23.578;26.6501;
94972;23.4708;26.6748;
95038;23.6191;26.4628;
95107;23.5772;26.4783;
95181;23.6384;26.253;
95258;23.6194;26.3404;
95325;23.6904;26.2181;
95399;23.5233;26.2592;
95476;23.5561;26.2093;
95557;23.3445;26.2619;
95620;23.3433;26.5505;
95691;23.4651;26.5477;
95763;23.1625;26.38;
95835;23.1878;26.7584;
95910;23.3994;27.1183;
95985;23.3523;27.4899;
96058;23.3999;27.6571;
96128;23.4787;28.1381;
96199;23.386;28.5798;
96277;23.6249;28.9971;
96347;23.54;29.3774;
96421;23.5717;29.8339;
96495;23.6546;30.3968;
96567;23.548;30.5278;
96646;23.3788;31.1528;
96711;23.66;31.5934;
96782;23.8721;32.0532;
96856;23.9912;32.6743;
96931;24.09;33.0187;
97004;24.2031;33.5708;
97076;24.3186;33.7779;
97151;24.431;34.1945;
97222;24.652;34.5523;
97301;24.6621;35.2935;
97375;24.6107;35.7525;
97444;24.6188;36.1975;
97515;24.6198;36.7293;
97585;24.8065;37.1076;
97658;24.8102;37.5726;
97741;25.025;37.7483;
97805;25.1198;38.0242;
97882;25.0255;37.8299;
97950;25.1325;37.6652;
98026;25.1476;37.3209;
98096;24.9978;36.8898;
98172;25.0794;36.3999;
98241;25.0327;35.7826;
98316;24.9568;35.2141;
98385;25.029;34.4931;
98458;25.1129;33.9404;
98531;25.0112;33.2105;
98614;25.0028;32.822;
98675;24.8185;32.3412;
98753;24.8987;31.8134;
98823;24.8588;31.3947;
98902;24.6246;30.8856;
98970;24.489;30.7131;
99045;24.5312;30.2872;
99115;24.3057;29.7782;
99188;24.2388;29.5109;
99258;24.3099;29.1176;
99333;24.2065;28.81;
99410;24.2537;28.4311;
99482;24.2986;28.2117;
99554;24.16;28.0056;
99627;23.988;27.8697;
99705;24.0733;27.6236;
99773;23.871;27.595;
99845;23.7801;27.7401;
99918;23.7557;27.3901;
99989;23.5727;27.3984;
100063;23.7075;27.2685;
100137;23.5349;27.3143;
100207;23.4931;27.2109;
100285;23.6311;27.1248;
100352;23.3885;27.1565;
100426;23.3044;27.0852;
100500;23.4347;27.0518;
100574;23.2396;27.0847;
100642;23.2399;27.3663;
100720;23.2999;27.1704;
100793;23.0702;27.0392;
100868;23.0224;27.026;
100936;23.2167;26.9297;
101013;23.2377;27.0197;
101081;23.2273;27.1385;
101156;23.2431;27.4913;
101229;23.2446;27.7108;
101304;23.2157;28.1545;
101375;23.3986;28.3621;
101446;23.2336;28.9121;
101522;23.1175;29.1943;
101593;23.1102;29.4545;
101665;23.134;29.9564;
101739;23.1783;30.1159;
101810;23.2988;30.6022;
101890;23.5491;30.9417;
101966;23.6563;31.5109;
102031;23.6634;31.9306;
102106;23.5933;32.2752;
102175;23.7499;32.6227;
102249;23.6365;33.0534;
102320;23.5679;33.5003;
102395;23.6982;33.6117;
102464;23.7329;34.139;
102539;23.6666;34.3485;
102612;23.7794;34.932;
102682;23.8408;35.3351;
102758;23.9685;35.8482;
102832;24.0859;36.2842;
102903;24.1146;36.6869;
102976;24.2205;37.0688;
103050;24.0827;37.4621;
103126;24.1087;37.9;
103197;24.0573;37.9458;
103270;24.1071;38.3621;
103340;24.0287;38.757;
103412;24.3261;39.2856;
103487;24.2685;39.613;
103558;24.4089;39.8836;
103632;24.4802;40.0726;
103709;24.5851;40.056;
103778;24.5522;39.5453;
103858;24.6432;38.9593;
