17:51:45   Default
28102021 2.MessungPatient2
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
47198;28.2218;19.9084;
47272;28.0342;19.9398;
47348;27.8454;19.7278;
47423;27.8359;19.3429;
47493;27.8762;19.3342;
47561;27.9546;19.1383;
47642;27.7973;19.3113;
47711;27.8856;20.2828;
47783;27.958;20.8111;
47859;28.2204;21.1925;
47934;28.6739;21.3744;
48010;28.9094;22.2797;
48074;29.3683;22.8136;
48147;29.8368;23.108;
48220;30.2617;23.5337;
48294;30.8821;23.3813;
48366;31.2792;24.2264;
48443;31.4235;24.7788;
48514;31.9092;25.3438;
48588;32.2615;25.9398;
48658;32.6326;26.4659;
48734;32.9599;27.5449;
48815;33.0624;28.7883;
48885;33.2573;29.9501;
48957;33.3404;31.4246;
49021;33.4426;32.4876;
49091;33.556;33.7036;
49168;33.6674;34.5819;
49240;33.6923;35.6698;
49315;33.7743;36.6933;
49387;33.7253;37.6538;
49454;33.6631;38.0593;
49535;33.759;37.6412;
49605;33.5785;37.412;
49674;33.5634;37.0813;
49748;33.2953;37.0869;
49825;33.2261;36.1202;
49904;32.9594;35.2749;
49974;32.7039;34.864;
50050;32.5274;33.9728;
50113;32.2646;33.1516;
50185;32.0572;32.3461;
50262;31.7923;31.3789;
50332;31.5392;30.5045;
50406;31.2034;30.0577;
50480;30.871;28.982;
50550;30.6576;28.012;
50624;30.6837;27.1927;
50695;30.5273;26.2429;
50772;30.1689;25.5557;
50844;30.0376;24.7299;
50919;29.8743;24.0622;
50989;29.7014;23.4365;
51061;29.4845;22.7551;
51136;29.3361;22.1388;
51207;29.2621;21.4361;
51279;29.1644;20.8419;
51350;29.025;20.3487;
51429;28.8816;19.6486;
51503;28.7351;19.2878;
51573;28.574;18.8979;
51643;28.4745;18.1613;
51714;28.3783;17.8125;
51793;28.2815;17.6031;
51866;28.1974;17.379;
51936;28.141;17.1161;
52009;28.0633;17.084;
52082;28.0645;16.999;
52153;28.0362;16.8944;
52227;27.9904;16.9703;
52302;27.9689;17.2208;
52376;27.9781;17.5849;
52447;28.0406;18.0401;
52522;27.9899;18.5461;
52600;27.9506;19.4819;
52669;27.9488;20.0157;
52741;28.0554;20.5369;
52812;28.3016;21.2069;
52885;28.6604;21.4015;
52959;28.9873;21.6434;
53031;29.3857;21.7261;
53104;30.0923;21.4226;
53175;30.6159;21.4795;
53246;31.0301;22.286;
53321;31.174;22.9553;
53394;31.3435;23.7097;
53466;31.4972;24.6317;
53539;31.8161;25.3398;
53613;31.8423;26.3036;
53682;32.0499;26.6286;
53761;32.3504;27.2166;
53831;32.583;28.1813;
53903;32.7103;28.8033;
53978;32.7784;29.9327;
54053;32.8802;30.857;
54122;32.9933;31.7193;
54194;33.0741;32.4034;
