16:55:14   Default
2021_11_23_Patient29
Time (ms); Pri Amplitude (mm); Sec Amplitude (mm);
154533;66.0381;63.7655;
154613;66.1157;63.922;
154680;66.0757;63.7969;
154750;66.0279;63.8838;
154824;66.0174;63.9423;
154899;66.0238;63.9749;
154971;65.874;64.1846;
155053;65.8022;64.5396;
155121;65.7447;64.1839;
155191;65.6395;64.8059;
155266;65.5116;65.1967;
155338;65.3135;65.5906;
155412;65.0825;66.2464;
155484;65.0966;66.6444;
155557;64.8707;66.8555;
155627;64.9222;66.7956;
155707;64.8398;66.9321;
155781;64.8191;67.701;
155845;65.3366;69.289;
155920;65.6261;70.5191;
155993;65.7286;71.4717;
156064;66.0723;72.401;
156141;66.3119;73.6398;
156216;66.6361;74.1528;
156284;66.772;75.0526;
156359;67.0368;76.0877;
156428;67.1448;77.0066;
156497;67.2904;78.1989;
156574;67.5172;79.2734;
156649;67.674;80.4599;
156717;67.5801;81.1878;
156794;67.6115;80.3322;
156865;67.708;80.9466;
156940;67.8066;80.9036;
157009;68.2361;79.4593;
157081;68.5881;78.9798;
157158;68.8268;78.6668;
157234;68.9032;78.4075;
157300;69.0647;77.7475;
157382;69.2073;77.3159;
157449;69.2885;77.4492;
157525;69.2553;77.4903;
157595;69.2597;77.3881;
157663;69.0911;77.1107;
157740;69.1692;76.7154;
157812;68.8386;76.8552;
157885;68.2695;74.9407;
157956;68.088;72.4844;
158029;67.9996;72.4469;
158108;67.6016;71.2695;
158179;67.1894;70.3325;
158248;67.1555;69.5888;
158322;67.0408;68.5573;
158398;66.9038;67.5334;
158467;66.8606;66.8974;
158541;66.6477;66.1721;
158613;66.6023;65.6878;
158685;66.3454;65.3393;
158764;66.0661;65.4528;
158831;65.9699;65.0243;
158902;65.9552;64.6859;
158976;65.9221;64.2965;
159050;65.8126;63.8955;
159125;65.7982;63.6094;
159198;65.7372;63.4535;
159270;65.7263;63.2848;
159340;65.5618;63.0907;
159411;65.6401;63.0349;
159486;65.5725;62.952;
159560;65.5161;62.8313;
159634;65.5514;62.9435;
159705;65.4463;63.5722;
159779;65.5271;63.2444;
159850;65.4925;63.2795;
159927;65.5944;62.9723;
159997;65.4863;62.8138;
160070;65.5099;62.6559;
160150;65.5389;62.6566;
160217;65.5654;62.7765;
160289;65.4777;62.73;
160360;65.4971;62.7452;
160443;65.5336;62.7397;
160509;65.4647;62.8362;
160583;65.4897;62.9872;
160654;65.3236;63.5993;
160726;65.2811;64.0325;
160799;65.3664;64.3976;
160871;65.4676;65.031;
160943;65.4816;65.4824;
161023;65.6647;66.1141;
161089;65.7422;67.0666;
161168;65.8063;67.6901;
161238;66.0107;68.4187;
161310;66.1294;68.9791;
161382;66.1966;69.672;
161454;66.2133;70.4079;
161531;66.401;71.2694;
161604;66.3642;72.0528;
161671;66.3283;72.7425;
161745;66.4369;73.1888;
161824;66.6178;73.9318;
161894;66.7066;74.2601;
161964;66.7959;75.002;
162040;66.9249;75.7205;
162111;67.0495;76.4237;
162182;67.1505;77.0961;
162255;67.2618;77.6637;
162331;67.4025;78.2279;
162405;67.3597;78.6527;
162472;67.4654;78.8982;
162546;67.4703;79.4595;
162618;67.3377;79.9077;
162690;67.4852;80.0833;
162770;67.7249;79.294;
162840;67.7117;77.4378;
162911;67.6052;76.7915;
162985;67.569;75.7592;
163061;67.5028;74.4087;
163136;67.4972;73.4948;
163209;67.3493;72.5004;
163274;67.1648;71.5297;
163347;66.9658;70.6957;
163419;66.7965;69.8889;
163495;66.5544;69.4749;
163564;66.4733;68.447;
163637;66.5129;67.7664;
163712;66.4103;67.3088;
163791;66.2684;66.3766;
163861;66.2418;65.8275;
163931;66.2628;65.4125;
164006;66.1214;64.9388;
164078;66.0742;64.5482;
164156;66.0437;64.1705;
164229;65.9153;63.8358;
164299;66.0023;63.7254;
164367;65.892;63.6132;
164445;65.7412;63.4724;
164514;65.4305;63.8032;
164589;65.5358;63.6152;
164661;65.4843;63.5134;
164733;65.513;63.2525;
164809;65.4804;62.9811;
164884;65.5448;62.7525;
164950;65.61;62.6984;
165025;65.5569;62.6486;
165101;65.4482;62.6464;
165171;65.4871;62.5303;
165247;65.4862;62.4457;
165317;65.4433;62.4878;
165385;65.3959;62.5147;
165465;65.3326;62.964;
165531;65.2963;63.2033;
165606;65.4278;62.9337;
165678;65.455;62.8604;
165760;65.4338;62.7311;
165830;65.5308;62.4417;
165897;65.5094;62.5358;
165978;65.5318;62.4242;
166042;65.4379;62.4263;
166119;65.4361;62.4305;
166189;65.4747;62.4363;
166262;65.4984;62.7039;
166333;65.4284;63.0941;
166409;65.4957;63.6698;
166484;65.2755;64.6901;
166556;65.3112;65.3533;
166629;65.4509;66.4097;
166697;65.4778;66.9571;
166771;65.5814;67.8588;
166848;65.6898;68.6416;
166921;65.8618;69.4709;
166990;65.8527;70.501;
167061;66.0673;71.2863;
167133;66.2391;72.0407;
167209;66.2644;72.8721;
167289;66.3295;73.637;
167352;66.3031;74.4383;
167427;66.3209;75.4475;
167500;66.4148;76.1959;
167573;66.5992;77.3072;
167646;66.7077;77.7994;
167725;66.713;78.4301;
167796;66.9528;79.0447;
167867;67.0453;79.7559;
167941;67.0205;80.6965;
168015;67.2139;81.3475;
168085;67.4656;81.5543;
168165;67.5171;80.9649;
168237;67.6634;79.9815;
168308;67.6841;78.6772;
168378;67.5922;77.4536;
168453;67.5031;76.2968;
168522;67.3488;75.4744;
168595;67.3114;74.3057;
168670;67.1485;73.4671;
168738;66.9717;72.4743;
168811;66.9786;71.5758;
168886;66.7884;71.2744;
168959;66.7045;70.5214;
169032;66.5867;69.6872;
169101;66.459;68.7559;
169176;66.4153;67.7031;
169250;66.2786;67.1;
169325;66.1507;66.8393;
169396;66.0389;65.8248;
169471;66.0501;65.3866;
169544;66.0432;64.9774;
169616;65.9137;64.4514;
169688;65.8642;64.1366;
169757;65.9393;63.8815;
169833;65.7716;63.6494;
169905;65.7488;63.438;
169983;65.7238;63.2085;
170053;65.6601;63.0938;
170124;65.615;62.9215;
170198;65.5779;62.8235;
170270;65.5508;62.9213;
170340;65.4508;63.4254;
170414;65.4992;63.2044;
170494;65.5792;63.1174;
170561;65.6022;62.9341;
170631;65.5407;62.663;
170704;65.4692;62.502;
170780;65.6267;62.4716;
170858;65.5397;62.5488;
170933;65.5421;62.4911;
171004;65.4618;62.4052;
171077;65.5385;62.4245;
171144;65.5121;62.4332;
171217;65.5093;62.4801;
171292;65.4869;62.6501;
171360;65.3365;63.1169;
171432;65.4191;62.8389;
171508;65.3853;62.8344;
171578;65.5675;62.6174;
171648;65.5083;62.4089;
171729;65.4983;62.2436;
171796;65.4839;62.3363;
171874;65.5219;62.3395;
171948;65.4747;62.3366;
172014;65.4866;62.3045;
172087;65.4835;62.2434;
172159;65.5865;62.3431;
172234;65.4806;62.4055;
172309;65.4218;62.8042;
172381;65.4419;63.2134;
172453;65.412;63.1397;
172525;65.4798;63.6473;
172601;65.5473;63.6464;
172671;65.5268;63.6532;
172748;65.5683;63.9914;
172815;65.6365;64.2448;
172891;65.5225;64.6863;
172963;65.6151;65.1923;
173035;65.5367;65.6982;
173108;65.6199;66.522;
173183;65.683;67.5317;
173252;65.7012;68.486;
173330;65.5877;69.5444;
173401;65.813;69.9379;
173471;65.8665;71.0527;
173548;66.0947;71.816;
173621;66.155;72.4385;
173697;66.2974;73.1293;
173766;66.4491;74.0327;
173838;66.5035;74.865;
173913;66.4916;75.6792;
173982;66.7427;76.2075;
174057;66.6728;76.7852;
174127;66.8113;77.351;
174201;66.7358;78.1097;
174276;66.6716;78.7644;
174355;66.9204;78.6804;
174424;66.9191;79.5015;
174498;67.0115;79.905;
174566;67.0067;79.9874;
174636;67.0977;79.826;
174711;67.1527;79.2773;
174781;67.3133;78.5087;
174855;67.3324;76.8455;
174931;67.3839;75.8506;
175012;67.3284;74.7969;
175073;67.2044;73.7316;
175149;66.9816;72.7268;
