Time (ms); Pri Amplitude (mm)
9321;156.3908
9403;156.3515
9492;156.3226
9573;156.0566
9656;155.7777
9737;155.7134
9824;155.5939
9908;155.4317
9992;155.3522
10077;155.4104
10167;155.381
10248;155.2812
10331;155.278
10418;155.2375
10499;155.4723
10584;155.6191
10665;156.024
10752;155.9953
10837;156.1449
10920;156.3982
11003;156.4305
11091;156.3711
11177;156.2961
11260;156.2458
11345;156.191
11425;156.034
11512;155.9601
11594;155.9015
11675;155.8433
11766;156.0073
11846;155.9228
11927;155.8902
12019;155.7014
12103;155.7293
12181;155.6634
12270;155.6212
12353;155.577
12433;155.4631
12520;155.4683
12601;155.2866
12692;155.0592
12775;155.2153
12863;155.2533
12943;155.2796
13028;155.1708
13115;155.3169
13192;155.4074
13283;155.4344
13368;155.5853
13447;155.7907
13532;155.837
13620;156.0492
13704;156.171
13798;156.3038
13877;156.2549
13958;156.0787
14042;156.0815
14125;156.0426
14204;156.0258
14292;155.9895
14381;155.8944
14459;155.86
14545;155.7237
14631;155.5766
14708;155.5584
14797;155.6283
14885;155.5839
14965;155.5703
15053;155.4955
15138;155.5024
15218;155.397
15302;155.242
15398;155.235
15477;155.1391
15557;155.1183
15638;155.0653
15724;155.1255
15809;155.2398
15894;155.2399
15979;155.1125
16068;155.0576
16148;155.2839
16233;155.6447
16323;155.7764
16402;155.9917
16488;156.3265
16573;156.2168
16655;156.1026
16734;156.0717
16834;156.1195
16910;156.0689
16987;155.8828
17074;155.9843
17158;156.0285
17249;155.8494
17332;155.8044
17415;155.6554
17496;155.7237
17579;155.6527
17669;155.7699
17751;155.7181
17833;155.8308
17918;155.7633
18006;155.7249
18090;155.7427
18171;155.6905
18253;155.7713
18340;155.7459
18428;155.7372
18509;155.7651
18587;155.8261
18677;155.6879
18761;155.7808
18849;155.7952
18933;155.6075
19012;155.5757
19096;155.5436
19184;155.3616
19271;155.3781
19361;155.223
19436;155.2365
19522;155.1743
19609;155.2304
19694;155.3138
19776;155.1643
19861;155.2483
19941;155.2231
20033;155.4495
20112;155.3743
20196;155.7007
20282;155.8261
20369;156.0356
20457;156.0512
20532;156.1317
20618;156.0863
20703;156.1197
20786;156.1583
20875;156.3074
20956;156.3944
21037;156.2865
21124;156.3901
21210;156.4038
21300;156.327
21372;156.1683
21471;155.7898
21553;155.8739
21638;155.9632
21716;156.0471
21795;156.0566
21887;155.8353
21968;156.0011
22051;156.0875
22134;155.815
22232;155.9545
22304;156.0984
22394;156.0644
22474;155.9459
22558;155.9881
22644;156.1055
22729;156.0448
22811;155.9093
22903;156.0155
22975;156.0481
23063;155.9667
23148;156.061
23237;155.9295
23319;155.8589
23405;155.7693
23490;155.5651
23572;155.4586
23654;155.4644
23736;155.3578
23819;155.3129
23904;155.2907
23998;155.3827
24076;155.3504
24162;155.3108
24248;155.3746
24333;155.5269
24417;155.9414
24504;156.363
24589;156.4689
24668;156.537
24752;156.5096
24840;156.5389
24916;156.541
25002;156.5516
25085;156.5254
25179;156.3757
25255;156.3227
25341;156.304
25424;156.2025
25513;156.1674
25592;156.2051
25680;156.1593
25765;156.2057
25853;156.2177
25939;156.2537
26022;156.1748
26105;156.2103
26185;156.1167
26267;156.0141
26351;156.1297
26440;156.1772
26523;156.2165
26606;156.2394
26700;156.2474
26783;156.0453
26858;155.9047
26943;155.8955
27028;155.8769
27111;155.7034
27202;155.6148
27285;155.5455
27362;155.4498
27450;155.4818
27534;155.3047
27616;155.2022
27703;155.3384
27786;155.4061
27871;155.581
27957;155.6597
28040;155.8669
28126;156.0171
28212;156.1813
28292;156.2493
28378;156.3031
28470;156.3326
28545;156.4133
28626;156.4504
28716;156.3178
28800;156.187
28886;156.3921
28974;156.4899
29055;156.4399
29139;156.4628
29222;156.594
29311;156.5467
29392;156.4879
29470;156.445
29562;156.4563
29644;156.602
29729;156.507
29807;156.5897
29898;156.6052
29978;156.52
30067;156.3191
30143;156.1864
30240;156.1608
30319;156.0452
30403;155.8037
30488;155.8609
30575;155.8529
30654;155.6802
30740;155.4998
30824;155.3619
30906;155.368
30992;155.574
31080;155.5107
31172;155.4474
31247;155.3559
31330;155.1333
31421;155.0546
31498;155.132
31586;155.361
31665;155.5307
31763;155.7444
31847;155.8295
31922;156.2686
32007;156.5986
32090;156.7971
32176;157.2112
32259;157.6047
32344;157.7225
32428;157.9559
32515;158.2505
32598;158.5248
32681;158.5013
32763;158.2446
32850;157.8687
32933;157.109
33014;156.8515
33111;156.7399
33192;157.1147
33276;157.2436
33354;157.2534
33449;157.4154
33529;157.4643
33613;157.6744
33692;157.9254
33781;157.9257
33871;157.9727
33949;158.0157
34032;158.1226
34111;158.1563
34203;157.9964
34284;158.0321
34368;158.1941
34457;158.1322
34545;158.1221
34628;158.1619
34705;158.1355
34791;157.9229
34878;157.5588
34963;157.5479
35048;157.6419
35131;157.5422
35211;157.2869
35294;157.272
35379;157.3398
35461;157.1434
35547;157.1139
35634;157.1097
35716;157.0949
35805;157.2614
35886;157.1638
35971;157.1693
36058;157.2566
36146;157.2321
36219;157.0694
36308;156.8209
36394;156.8217
36474;156.857
36562;156.714
36644;156.5623
36724;156.4328
36812;156.3723
36896;156.3201
36980;156.119
37069;156.2056
37151;156.1665
37239;156.217
37322;156.2617
37405;156.3546
37486;156.2577
37573;156.1922
37658;156.1469
37735;156.2569
37828;156.3435
37910;156.3539
37998;156.2995
38082;156.3127
38165;156.2459
38249;156.2586
38337;156.1213
38422;156.2309
38502;156.2614
38584;156.1982
38668;155.9581
38753;156.0482
38841;155.9456
38926;155.6573
39010;155.5889
39092;155.6704
39177;155.445
39257;155.5379
39345;155.3103
39432;155.4394
39516;155.2021
39600;155.1507
39681;155.1215
39762;155.1756
39855;155.0991
39945;155.2299
40020;155.0717
40100;155.1902
40192;155.0377
40279;155.162
40359;155.3562
40451;155.4578
40528;155.6774
40610;155.6963
40695;155.7591
40776;155.7335
40863;155.8438
40950;156.0453
41035;155.949
41112;155.9515
41200;155.9288
41285;155.9174
41367;155.8007
41457;155.7563
41541;155.6705
41619;155.5544
41707;155.5657
41788;155.6031
41878;155.5184
41970;155.5613
42047;155.536
42128;155.5318
42215;155.328
42295;155.441
42380;155.383
42467;155.3543
42550;155.3629
42635;155.338
42717;155.4068
42797;155.3235
42882;155.214
42969;155.1962
43060;155.2212
43143;155.1603
43223;155.0683
43306;155.1758
43394;155.121
43478;155.1936
43559;155.1526
43645;154.98
43735;155.0368
43827;155.159
43909;155.2678
43987;155.1635
44067;155.3743
44154;155.442
44239;155.6518
44319;155.5889
44407;155.7414
44489;156.1006
44571;156.1983
44666;156.1257
44752;156.1027
44828;156.0268
44912;155.8354
44996;155.7453
45080;155.6633
45165;155.7419
45256;155.6312
45329;155.5641
45417;155.3728
45502;155.4713
45582;155.3313
45670;155.3135
45755;155.1494
45839;155.1714
45923;155.2233
46010;155.1808
46089;155.1857
46178;155.1934
46258;155.1404
46344;154.9934
46429;155.0101
46518;155.054
46603;155.0939
46681;155.1228
46775;155.0982
46857;155.173
46932;155.2061
47017;155.2367
47108;155.1334
47190;155.3291
47278;155.6223
47355;155.6011
47441;155.6249
47530;155.866
47610;156.0622
47698;155.9341
47779;155.9977
47867;156.0226
47948;156.0219
48036;155.9851
48116;155.7388
48201;155.7902
48291;155.7357
48375;155.5721
48457;155.5678
48541;155.5631
48620;155.4957
48706;155.4144
48788;155.3655
48872;155.4103
48960;155.2581
49047;155.0662
49126;154.9474
49212;154.9954
49301;154.9768
49380;154.9961
49464;155.0335
49551;154.9685
49635;154.8792
49721;154.7858
49807;154.8582
49894;155.0315
49982;155.0324
50058;154.7766
50138;154.6648
50227;154.6518
50312;154.7103
50394;154.7149
50477;154.5996
50563;154.8558
50651;154.7298
50730;154.8574
50812;155.0719
50903;155.2206
50992;155.196
51073;155.3905
51150;155.754
51241;155.702
51327;155.5925
51406;155.4495
51486;155.6201
51578;155.6151
51665;155.5073
51741;155.5522
51827;155.6418
51908;155.5849
51998;155.5812
52078;155.6242
52167;155.8842
52254;156.0026
52337;155.8171
52413;155.7633
52499;155.7909
52584;155.7604
52665;155.7281
52754;155.6961
52838;155.6308
52920;155.5422
53009;155.3559
53091;155.1826
53176;155.2178
53264;155.2544
53339;155.103
53426;155.1442
53513;155.0115
53595;155.0061
53686;154.9283
53761;155.1191
53858;155.3023
53930;154.8537
54018;154.7974
54100;154.639
54186;154.8409
54269;154.5222
55194;155.325
55269;155.1935
55356;155.3043
55438;155.0909
55526;155.2978
55618;155.2921
55694;155.2649
55779;155.3818
55860;155.411
55951;155.1921
56033;155.1947
56115;155.0832
56200;155.1861
56283;154.9622
56368;154.8739
56453;154.9995
56536;154.8987
56622;154.9631
56704;155.0287
56792;154.792
56878;154.6905
56961;154.8002
57047;154.7896
57131;154.6942
57218;154.7109
57295;154.7183
57385;154.7246
57466;154.7004
57554;154.9877
57641;154.6845
57732;154.7014
57803;154.7041
57896;154.8514
57977;154.7508
58055;154.7838
58141;154.8132
58225;154.7923
58314;154.5602
58394;154.6108
58477;154.5242
58562;154.488
58648;154.6102
58734;154.5
58812;154.5703
58903;154.6279
58983;154.4657
59071;154.3918
59164;154.5501
59248;154.4558
59320;154.5312
59409;154.6181
59493;154.7449
59579;155.1534
59665;155.0201
59742;155.1972
59827;155.4754
59915;155.3915
59995;155.2787
60086;155.5061
60164;155.5374
60254;155.4525
60335;155.2418
60426;154.774
60520;154.7766
60589;155.1964
60672;155.3087
60756;155.2304
60847;155.1665
60935;155.0505
61010;155.119
61100;155.0421
61186;154.9574
61267;154.9621
61349;155.0035
61430;154.9572
61517;154.8316
61603;154.735
61684;154.6569
61777;154.6001
61855;154.55
61947;154.7223
62033;154.5896
62110;154.5841
62202;154.5288
62277;154.5371
62360;154.4291
62445;154.4388
62529;154.7406
62613;154.9793
62698;155.0968
62785;155.4581
62871;155.7579
62954;155.7826
63039;155.7443
63124;155.614
63206;155.7332
63294;155.6864
63375;155.5735
63464;155.525
63542;155.5447
63628;155.336
63710;155.3113
63802;155.1424
63879;155.1295
63967;155.0509
64061;154.9233
64132;154.8896
64224;154.9567
64309;154.7923
64387;154.6679
64474;154.7667
64555;154.6976
64639;154.7487
64725;154.731
64823;154.6198
64895;154.6412
64986;154.7564
65060;154.7922
65149;155.0462
65234;155.3627
65316;155.6049
65398;155.8225
65482;155.6995
65567;155.7721
65651;155.7895
65737;155.7505
65826;155.6147
65914;155.5421
65986;155.5736
66078;155.4782
66160;155.3447
66246;155.2633
66329;155.2209
66411;155.1255
66497;154.9371
66583;154.8446
66667;154.6966
66751;154.9003
66835;154.6869
66917;154.7271
67007;154.7483
67090;154.6432
67174;154.6031
67253;154.5889
67340;154.6607
67419;154.7278
67505;155.0401
67593;155.2557
67679;155.3046
67761;155.4787
67847;155.5967
67935;155.8067
68016;155.8111
68106;155.7556
68191;155.57
68267;155.543
68359;155.467
68437;155.2688
68527;155.2447
68609;155.1835
68692;155.1027
68773;155.0628
68860;155.0259
68939;154.9157
69023;154.8558
69113;154.7275
69195;154.5926
69285;154.6311
69361;154.6522
69450;154.7126
69548;154.7235
69625;154.7937
69701;154.6841
69794;154.5716
69869;154.4954
69952;154.5453
70037;154.8124
70121;155.0626
70204;155.2071
70289;155.4911
70373;155.5619
70454;155.5594
70539;155.5999
70625;155.5781
70707;155.65
70792;155.5437
70888;155.3649
70963;155.3485
71054;155.1327
71134;155.0354
71214;154.8717
71301;154.9555
71392;154.9898
71472;154.7948
71555;154.7998
71638;154.7029
71723;154.8423
71812;154.6012
71889;154.4671
71975;154.5549
72058;154.5199
72141;154.5987
72228;154.5199
72312;154.4607
72395;154.5795
72484;154.5348
72570;154.6006
72659;154.456
72742;154.5996
72827;154.6232
72905;154.8125
72988;154.9967
73080;155.1151
73160;155.2643
73239;155.5313
73330;155.5896
73407;155.3822
73493;155.3803
73576;155.3121
73667;155.3309
73744;155.2324
73828;155.0306
73914;155.0855
74004;155.0076
74087;154.9818
74169;154.8768
74256;154.8553
74347;154.7924
74428;154.6178
74505;154.5883
74595;154.4866
74682;154.4162
74762;154.4081
74842;154.4023
74933;154.4736
75021;154.4257
75096;154.2026
75185;154.1804
75264;154.2767
75356;154.5352
75431;154.9305
75518;155.147
75617;155.1983
75705;154.9793
75782;155.3729
75860;155.8385
75947;155.9359
76025;155.4842
76109;155.2016
76194;155.071
76276;155.241
76365;155.3331
76451;155.265
76530;155.1303
76616;155.188
76703;155.0342
76792;155.0299
76870;154.9744
76959;155.003
77038;154.9336
77124;154.723
77219;154.7796
77298;154.6743
77383;154.5982
77471;154.4778
77548;154.6427
77630;154.529
77722;154.511
77806;154.3042
77888;154.4136
77975;154.4314
78059;154.5041
78140;154.7085
78224;154.9433
78315;155.1379
78390;155.2535
78479;155.4164
78561;155.3799
78646;155.4519
78735;155.3787
78814;155.4857
78903;155.3105
78992;155.3023
79068;155.2792
79157;155.007
79237;154.9878
79318;154.9058
79402;154.947
79496;154.9407
79576;154.8555
79657;154.9272
79742;154.7692
79823;154.6618
79917;154.4727
79994;154.4919
80077;154.4952
80166;154.5408
80244;154.4497
80331;154.4973
80418;154.4925
80503;154.3699
80586;154.2498
80673;154.4434
80760;154.6815
80842;154.8932
80932;155.0444
81012;155.2917
81100;155.4209
81185;155.401
81271;155.3098
81349;155.2841
81434;155.3094
81521;155.2759
81599;155.2635
81684;155.1952
81769;155.1031
81855;154.9756
81937;154.9832
82023;154.9394
82105;154.8678
82198;154.7958
82277;154.7851
82358;154.8088
82443;154.7176
82527;154.5852
82607;154.5214
82699;154.4571
82780;154.5033
82866;154.4754
82947;154.3764
83032;154.4615
83117;154.4431
83201;154.3949
83287;154.3589
83374;154.3879
83461;154.3774
83548;154.7312
83623;154.891
83706;155.155
83798;155.3194
83883;155.2402
83963;155.1898
84044;155.2655
84130;155.315
84218;155.1508
84297;155.105
84380;155.0753
84464;154.9475
84550;154.8169
84639;154.798
84726;154.8721
84803;154.7941
84893;154.7212
84974;154.6286
85061;154.6066
85141;154.6271
85233;154.5583
85313;154.4579
85393;154.4062
85481;154.365
85569;154.3002
85648;154.4118
85725;154.5043
85814;154.7684
85901;154.8578
85985;155.0623
86068;155.3029
86156;155.3553
86239;155.2627
86323;155.2225
86402;155.2396
86492;155.2344
86581;155.0123
86661;154.9728
86744;154.8619
86829;154.8273
86917;154.8702
86993;154.8189
87080;154.7396
87166;154.676
87250;154.583
87334;154.513
87421;154.552
87496;154.4868
87585;154.5142
87674;154.5075
87758;154.4353
87847;154.4402
87925;154.4845
88008;154.4184
88095;154.4557
88181;154.7681
88263;154.8526
88347;155.037
88427;155.1416
88515;155.2933
88601;155.3555
88681;155.2617
88766;155.1439
88856;155.1012
88939;155.2745
89025;155.1587
89113;155.1027
89196;154.9795
89278;155.011
89359;154.964
89444;154.7186
89526;154.7075
89610;154.739
89695;154.7269
89783;154.6773
89865;154.5837
89946;154.618
90029;154.4947
90116;154.3392
90204;154.3818
90293;154.3947
90374;154.4296
90465;154.3107
90546;154.429
90620;154.6153
90706;154.77
90794;154.8802
90876;155.0768
90957;155.4411
91042;155.6211
91129;155.5544
91216;155.407
91300;155.5009
91383;155.3655
91469;155.2893
91550;155.1096
91634;155.2023
91719;155.1287
91803;155.0853
91889;155.0673
91982;155.1095
92058;154.9653
92142;154.7241
92226;154.5925
92309;154.5639
92398;154.543
92479;154.5289
92557;154.4918
92641;154.4948
92731;154.5258
92815;154.3426
92904;154.2341
92990;154.3068
93065;154.5636
93147;154.6513
93231;154.8596
93319;155.0539
93402;155.2563
93493;155.3623
93570;155.4402
93671;155.4618
93743;155.4379
93824;155.4599
93908;155.2599
93989;155.2484
94078;154.9834
94166;154.7376
94248;154.5029
94332;154.6243
94422;154.6688
94505;154.9135
94583;155.0862
94663;154.9601
94753;155.1137
94836;154.8791
94920;154.7521
95001;154.5524
95086;154.3173
95173;154.1232
95254;154.0847
95339;154.2294
95424;154.3441
95511;154.3067
95598;154.3998
95675;154.4709
95759;154.7901
95845;154.9132
95936;155.1182
96013;155.2727
96098;155.2787
96181;155.1873
96266;155.2583
96358;155.13
96435;155.1928
96524;155.0876
96608;155.0993
96691;155.0091
96771;154.8793
96859;154.8065
96948;154.7296
97029;154.7128
97121;154.6142
97201;154.7304
97280;154.6111
97369;154.4531
97450;154.2612
97537;154.2362
97618;154.287
97703;154.2124
97786;154.2581
97870;154.1435
97953;154.2783
98037;154.2373
98124;154.2673
98210;154.392
98290;154.57
98384;154.748
98463;154.8989
98544;155.0173
98630;155.0549
98724;155.168
98795;155.0005
98881;154.8734
98967;154.9433
99049;154.9675
99138;155.002
99218;154.7539
99303;154.8845
99387;154.7974
99470;154.6916
99562;154.6623
99639;154.4998
99734;154.6178
99812;154.4766
99895;154.6168
99980;154.4364
100062;154.5156
100153;154.399
100245;154.3616
100322;154.3953
100414;154.3681
100485;154.2653
100570;154.2679
100651;154.1623
100738;154.2134
100822;154.0254
100905;154.0057
100989;154.0215
101074;154.0744
101163;154.0272
101243;154.0103
101325;154.0451
101409;154.3125
101494;154.4038
101583;154.4305
101667;154.6191
101747;154.7423
101834;154.876
101928;154.8607
102004;155.0043
102084;155.0764
102169;154.8144
102256;154.9593
102338;154.9443
102426;154.8837
102508;154.8041
102597;154.9124
102675;154.9433
102761;154.6718
102844;154.6322
102935;154.5033
103019;154.5654
103096;154.6146
103182;154.541
103269;154.3392
103349;154.353
103436;154.3236
103521;154.1959
103602;154.1932
103694;154.257
103771;154.3515
103856;154.351
103943;154.2209
104035;154.3885
104109;154.4451
104194;154.5311
104286;154.7095
104364;154.728
104453;155.2462
104542;155.2449
104622;155.316
104702;155.335
104788;155.1854
104871;155.1158
104952;155.0913
105038;155.1191
105121;155.1396
105211;154.9857
105295;154.7781
105377;154.8598
105467;154.8022
105546;154.6216
105630;154.436
105718;154.4839
105800;154.5647
105882;154.2829
105969;154.3634
106057;154.2647
106141;154.0911
106230;154.1718
106307;153.9482
106390;154.0019
106471;154.0191
106562;154.2615
106656;154.5756
106734;154.7151
106812;154.679
106900;154.9149
106982;155.0978
107065;155.2804
107152;155.259
107237;155.3652
107324;155.6371
107401;155.4432
107489;155.5559
107576;155.4808
107667;155.6845
107749;155.8042
107832;155.8999
107909;155.8805
107996;156.0182
108076;155.9385
108163;155.8109
108253;155.7727
108336;155.8126
108416;155.7062
108504;155.5331
108583;155.3748
108673;155.2742
108754;155.0596
108841;154.799
108922;154.838
109007;154.7629
109092;154.5864
109182;154.6426
109264;154.5877
109350;154.4927
109434;154.5452
109514;154.435
109597;154.5456
109682;154.9257
109768;155.0556
109854;155.2163
109939;155.3754
110024;155.4735
110107;155.4889
110187;155.4556
110271;155.4161
110354;155.4629
